"","motif","gene","source"
"Thap11.h0","Thap11.h0","THAP11","Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522)/Homer"
"THAP11.h0","THAP11.h0","THAP11","THAP11/MA1573.1/Jaspar"
"M02618","M02618","THAP12","Zoo_01"
"M02622","M02622","THAP12","Zoo_01"
"M02623","M02623","THAP12","Zoo_01"
"THRa.h0","THRa.h0","THRA","THRa(NR)/C17.2-THRa-ChIP-Seq(GSE38347)/Homer"
"M03572","M03572","THRA","Jolma2013"
"MA1969.2","MA1969.2","THRA","JASPAR"
"THRA.e0","THRA.e0","THRA","THRA_jolma_FL_M727"
"THRb.h0","THRb.h0","THRB","THRb(NR)/HepG2-THRb.Flag-ChIP-Seq(Encode)/Homer"
"THRb.h1","THRb.h1","THRB","THRb(NR)/Liver-NR1A2-ChIP-Seq(GSE52613)/Homer"
"M03583","M03583","THRB","Jolma2013"
"M03584","M03584","THRB","Jolma2013"
"M03585","M03585","THRB","Jolma2013"
"M05833","M05833","THRB","Yin2017"
"M05834","M05834","THRB","Yin2017"
"M05835","M05835","THRB","Yin2017"
"M05836","M05836","THRB","Yin2017"
"M05837","M05837","THRB","Yin2017"
"M05838","M05838","THRB","Yin2017"
"M05839","M05839","THRB","Yin2017"
"M05840","M05840","THRB","Yin2017"
"MA1574.2","MA1574.2","THRB","JASPAR"
"MA1575.2","MA1575.2","THRB","JASPAR"
"MA1576.2","MA1576.2","THRB","JASPAR"
"THRB.h0","THRB.h0","THRB","THRB/MA1574.1/Jaspar"
"THRB.h1","THRB.h1","THRB","THRB(var.2)/MA1575.1/Jaspar"
"THRB.h2","THRB.h2","THRB","THRB(var.3)/MA1576.1/Jaspar"
"THRB.e0","THRB.e0","THRB","THRB_jolma_DBD_M728"
"THRB.e1","THRB.e1","THRB","THRB_jolma_DBD_M729"
"THRB.e2","THRB.e2","THRB","THRB_jolma_DBD_M730"
"M01286","M01286","TIGD1","TF_Evolution"
"M06175","M06175","TIGD3","CodeBook"
"M06174","M06174","TIGD4","CodeBook"
"M06100","M06100","TIGD5","CodeBook"
"M00581","M00581","TLX1","Berger08"
"M00616","M00616","TLX1","BusserDevelopment2012"
"M02170","M02170","TLX1","Zoo_01"
"M02172","M02172","TLX1","Zoo_01"
"M02188","M02188","TLX1","Zoo_01"
"M02196","M02196","TLX1","Zoo_01"
"M02230","M02230","TLX1","Zoo_01"
"M02287","M02287","TLX1","Zoo_01"
"M02292","M02292","TLX1","Zoo_01"
"M03323","M03323","TLX1","Jolma2013"
"M03355","M03355","TLX1","Jolma2013"
"M03356","M03356","TLX1","Jolma2013"
"M03361","M03361","TLX1","Jolma2013"
"M03362","M03362","TLX1","Jolma2013"
"M03363","M03363","TLX1","Jolma2013"
"M03364","M03364","TLX1","Jolma2013"
"M03365","M03365","TLX1","Jolma2013"
"M03366","M03366","TLX1","Jolma2013"
"M03414","M03414","TLX1","Jolma2013"
"M03415","M03415","TLX1","Jolma2013"
"M03419","M03419","TLX1","Jolma2013"
"M03437","M03437","TLX1","Jolma2013"
"M03438","M03438","TLX1","Jolma2013"
"M03447","M03447","TLX1","Jolma2013"
"M03462","M03462","TLX1","Jolma2013"
"M03463","M03463","TLX1","Jolma2013"
"M03464","M03464","TLX1","Jolma2013"
"M03475","M03475","TLX1","Jolma2013"
"M03988","M03988","TLX1","Nitta2015"
"M03989","M03989","TLX1","Nitta2015"
"M03993","M03993","TLX1","Nitta2015"
"M03994","M03994","TLX1","Nitta2015"
"M03995","M03995","TLX1","Nitta2015"
"M03996","M03996","TLX1","Nitta2015"
"M04002","M04002","TLX1","Nitta2015"
"M04014","M04014","TLX1","Nitta2015"
"M04015","M04015","TLX1","Nitta2015"
"M04019","M04019","TLX1","Nitta2015"
"M04020","M04020","TLX1","Nitta2015"
"M04026","M04026","TLX1","Nitta2015"
"M04028","M04028","TLX1","Nitta2015"
"M04029","M04029","TLX1","Nitta2015"
"M04033","M04033","TLX1","Nitta2015"
"M04034","M04034","TLX1","Nitta2015"
"M04051","M04051","TLX1","Nitta2015"
"M04052","M04052","TLX1","Nitta2015"
"M04061","M04061","TLX1","Nitta2015"
"M04062","M04062","TLX1","Nitta2015"
"M04067","M04067","TLX1","Nitta2015"
"M04068","M04068","TLX1","Nitta2015"
"M04086","M04086","TLX1","Nitta2015"
"M05224","M05224","TLX1","Yin2017"
"M05225","M05225","TLX1","Yin2017"
"M05234","M05234","TLX1","Yin2017"
"M05235","M05235","TLX1","Yin2017"
"M05295","M05295","TLX1","Yin2017"
"M05296","M05296","TLX1","Yin2017"
"M05297","M05297","TLX1","Yin2017"
"M05349","M05349","TLX1","Yin2017"
"M05350","M05350","TLX1","Yin2017"
"M05351","M05351","TLX1","Yin2017"
"M05352","M05352","TLX1","Yin2017"
"M05368","M05368","TLX1","Yin2017"
"M05369","M05369","TLX1","Yin2017"
"M05370","M05370","TLX1","Yin2017"
"M05371","M05371","TLX1","Yin2017"
"M05372","M05372","TLX1","Yin2017"
"M05373","M05373","TLX1","Yin2017"
"M05437","M05437","TLX1","Yin2017"
"M05438","M05438","TLX1","Yin2017"
"M05439","M05439","TLX1","Yin2017"
"M05440","M05440","TLX1","Yin2017"
"M05485","M05485","TLX1","Yin2017"
"M05486","M05486","TLX1","Yin2017"
"M05499","M05499","TLX1","Yin2017"
"M05500","M05500","TLX1","Yin2017"
"M05501","M05501","TLX1","Yin2017"
"M05577","M05577","TLX1","Yin2017"
"M05578","M05578","TLX1","Yin2017"
"M05579","M05579","TLX1","Yin2017"
"M05580","M05580","TLX1","Yin2017"
"M05596","M05596","TLX1","Yin2017"
"M05597","M05597","TLX1","Yin2017"
"M06622","M06622","TLX1","FlyFactorSurvey"
"M06623","M06623","TLX1","FlyFactorSurvey"
"M06624","M06624","TLX1","FlyFactorSurvey"
"M06629","M06629","TLX1","FlyFactorSurvey"
"M06630","M06630","TLX1","FlyFactorSurvey"
"M06631","M06631","TLX1","FlyFactorSurvey"
"M06658","M06658","TLX1","FlyFactorSurvey"
"M06659","M06659","TLX1","FlyFactorSurvey"
"M06685","M06685","TLX1","FlyFactorSurvey"
"M06686","M06686","TLX1","FlyFactorSurvey"
"M06689","M06689","TLX1","FlyFactorSurvey"
"M06690","M06690","TLX1","FlyFactorSurvey"
"M06691","M06691","TLX1","FlyFactorSurvey"
"M06692","M06692","TLX1","FlyFactorSurvey"
"M06695","M06695","TLX1","FlyFactorSurvey"
"M06696","M06696","TLX1","FlyFactorSurvey"
"M06719","M06719","TLX1","FlyFactorSurvey"
"M06720","M06720","TLX1","FlyFactorSurvey"
"M06735","M06735","TLX1","FlyFactorSurvey"
"M06736","M06736","TLX1","FlyFactorSurvey"
"M06743","M06743","TLX1","FlyFactorSurvey"
"M06744","M06744","TLX1","FlyFactorSurvey"
"M06745","M06745","TLX1","FlyFactorSurvey"
"M06782","M06782","TLX1","FlyFactorSurvey"
"M06783","M06783","TLX1","FlyFactorSurvey"
"M10798","M10798","TLX1","iDMMPMM"
"M10799","M10799","TLX1","iDMMPMM"
"M11877","M11877","TLX1","Transfac"
"M11907","M11907","TLX1","Transfac"
"M11928","M11928","TLX1","Transfac"
"Tlx2.h0","Tlx2.h0","TLX2","PH0172.1_Tlx2/Jaspar"
"MA1577.2","MA1577.2","TLX2","JASPAR"
"TLX2.h0","TLX2.h0","TLX2","TLX2/MA1577.1/Jaspar"
"TLX2.e1","TLX2.e1","TLX2","Tlx2_bulyk_cell08-3498.2"
"M12560","M12560","TOPORS","Transfac"
"TOPORS.e0","TOPORS.e0","TOPORS","LUN-1_transfac_M00480"
"M10744","M10744","TP53","HOMER"
"M12320","M12320","TP53","Transfac"
"M12321","M12321","TP53","Transfac"
"MA0106.3","MA0106.3","TP53","JASPAR"
"TP53.h0","TP53.h0","TP53","p53(p53)/Saos-p53-ChIP-Seq(GSE15780)/Homer"
"TP53.h1","TP53.h1","TP53","p53(p53)/mES-cMyc-ChIP-Seq(GSE11431)/Homer"
"TP53.h2","TP53.h2","TP53","p53(p53)/Saos-p53-ChIP-Seq/Homer"
"TP53.h3","TP53.h3","TP53","TP53/MA0106.3/Jaspar"
"TP53.e0","TP53.e0","TP53","p53_transfac_M00034"
"TP53.e1","TP53.e1","TP53","p53_transfac_M00272"
"TP53.e2","TP53.e2","TP53","p53-decamer_transfac_M00761"
"TP53.e3","TP53.e3","TP53","TP53_jaspar_MA0106.1"
"TP53.e4","TP53.e4","TP53","Tp53_jolma_DBD_M734"
"TP53.e5","TP53.e5","TP53","Tp53_jolma_DBD_M735"
"TP53.e6","TP53.e6","TP53","Tp53_jolma_DBD_M736"
"M03641","M03641","TP63","Jolma2013"
"MA0525.2","MA0525.2","TP63","JASPAR"
"TP63.h0","TP63.h0","TP63","p63(p53)/Keratinocyte-p63-ChIP-Seq(GSE17611)/Homer"
"TP63.h1","TP63.h1","TP63","TP63/MA0525.2/Jaspar"
"TP63.e0","TP63.e0","TP63","TP63_jolma_DBD_M733"
"M08618","M08618","TP73","hmCHIP"
"M08619","M08619","TP73","hmCHIP"
"M08620","M08620","TP73","hmCHIP"
"MA0861.2","MA0861.2","TP73","JASPAR"
"TP73.h0","TP73.h0","TP73","p73(p53)/Trachea-p73-ChIP-Seq(PRJNA310161)/Homer"
"TP73.h1","TP73.h1","TP73","TP73/MA0861.1/Jaspar"
"TP73.e0","TP73.e0","TP73","Tp73_jolma_DBD_M737"
"TRIM28.e0","TRIM28.e0","TRIM28","TRIM28_U2OS_encode-Snyder_seq_hsa_r1:MDscan#3#Intergenic"
"TRIM28.e1","TRIM28.e1","TRIM28","TRIM28_K562b_encode-Snyder_seq_hsa_r1:Trawler#3#Intergenic"
"M03643","M03643","TRP53","Jolma2013"
"M03644","M03644","TRP53","Jolma2013"
"M03645","M03645","TRP53","Jolma2013"
"M03642","M03642","TRP73","Jolma2013"
"M03965","M03965","TRPS1","Nitta2015"
"M03966","M03966","TRPS1","Nitta2015"
"M03967","M03967","TRPS1","Nitta2015"
"M06604","M06604","TRPS1","FlyFactorSurvey"
"M11724","M11724","TRPS1","Transfac"
"MA1970.2","MA1970.2","TRPS1","JASPAR"
"TRPS1.h0","TRPS1.h0","TRPS1","TRPS1(Zf)/MCF7-TRPS1-ChIP-Seq(GSE107013)/Homer"
"M06108","M06108","TTF1","CodeBook"
"Twist1.h0","Twist1.h0","TWIST1","Twist(bHLH)/HMLE-TWIST1-ChIP-Seq(Chang_et_al)/Homer"
"MA1123.3","MA1123.3","TWIST1","JASPAR"
"TWIST1.h0","TWIST1.h0","TWIST1","TWIST1/MA1123.2/Jaspar"
"MA0633.3","MA0633.3","TWIST2","JASPAR"
"Twist2.h0","Twist2.h0","TWIST2","Twist2(bHLH)/Myoblast-Twist2.Ty1-ChIP-Seq(GSE127998)/Homer"
"Twist2.h1","Twist2.h1","TWIST2","Twist2/MA0633.1/Jaspar"
"M01800","M01800","TWIST2","Zoo_01"
"M03809","M03809","TWIST2","Nitta2015"
"M03810","M03810","TWIST2","Nitta2015"
"M06351","M06351","TWIST2","FlyFactorSurvey"
"M06352","M06352","TWIST2","FlyFactorSurvey"
"M10780","M10780","TWIST2","iDMMPMM"
"M05097","M05097","UBP1","Yin2017"
"M05098","M05098","UBP1","Yin2017"
"Uncx.h0","Uncx.h0","UNCX","PH0173.1_Uncx/Jaspar"
"M02193","M02193","UNCX","Zoo_01"
"M03468","M03468","UNCX","Jolma2013"
"M03469","M03469","UNCX","Jolma2013"
"M03395","M03395","UNCX","Jolma2013"
"M03396","M03396","UNCX","Jolma2013"
"MA0721.2","MA0721.2","UNCX","JASPAR"
"UNCX.h0","UNCX.h0","UNCX","UNCX/MA0721.1/Jaspar"
"UNCX.e0","UNCX.e0","UNCX","Uncx4.1_bulyk_cell08-2281.2"
"UNCX.e1","UNCX.e1","UNCX","UNCX_jolma_DBD_M643"
"UNCX.e2","UNCX.e2","UNCX","UNCX_jolma_DBD_M644"
"UNCX.e3","UNCX.e3","UNCX","Uncx_jolma_DBD_M645"
"UNCX.e4","UNCX.e4","UNCX","Uncx_jolma_DBD_M646"
"M01814","M01814","USF1","Zoo_01"
"M02996","M02996","USF1","Jolma2013"
"M04350","M04350","USF1","Yin2017"
"M04351","M04351","USF1","Yin2017"
"M08265","M08265","USF1","ENCODE"
"M08266","M08266","USF1","ENCODE"
"M08267","M08267","USF1","ENCODE"
"M08268","M08268","USF1","ENCODE"
"M08269","M08269","USF1","ENCODE"
"M10583","M10583","USF1","HOMER"
"M10990","M10990","USF1","Transfac"
"M10991","M10991","USF1","Transfac"
"M10992","M10992","USF1","Transfac"
"MA0093.4","MA0093.4","USF1","JASPAR"
"USF1.h0","USF1.h0","USF1","USF1(bHLH)/GM12878-Usf1-ChIP-Seq(GSE32465)/Homer"
"USF1.h1","USF1.h1","USF1","USF1/MA0093.3/Jaspar"
"M01834","M01834","USF2","Zoo_01"
"M10602","M10602","USF2","HOMER"
"Usf2.h0","Usf2.h0","USF2","Usf2(bHLH)/C2C12-Usf2-ChIP-Seq(GSE36030)/Homer"
"M04280","M04280","USF2","Yin2017"
"M04281","M04281","USF2","Yin2017"
"M08243","M08243","USF2","ENCODE"
"M08244","M08244","USF2","ENCODE"
"M08245","M08245","USF2","ENCODE"
"M08246","M08246","USF2","ENCODE"
"M08247","M08247","USF2","ENCODE"
"MA0526.5","MA0526.5","USF2","JASPAR"
"USF2.h0","USF2.h0","USF2","USF2/MA0526.3/Jaspar"
"M06116","M06116","USF3","CodeBook"
"Vax1.h0","Vax1.h0","VAX1","PH0174.1_Vax1/Jaspar"
"M03372","M03372","VAX1","Jolma2013"
"M05386","M05386","VAX1","Yin2017"
"M05387","M05387","VAX1","Yin2017"
"MA0722.2","MA0722.2","VAX1","JASPAR"
"VAX1.h0","VAX1.h0","VAX1","VAX1/MA0722.1/Jaspar"
"VAX1.e0","VAX1.e0","VAX1","Vax1_bulyk_cell08-3499.1"
"VAX1.e1","VAX1.e1","VAX1","VAX1_jolma_DBD_M647"
"Vax2.h0","Vax2.h0","VAX2","PH0175.1_Vax2/Jaspar"
"MA0723.3","MA0723.3","VAX2","JASPAR"
"VAX2.h0","VAX2.h0","VAX2","VAX2/MA0723.1/Jaspar"
"VAX2.e0","VAX2.e0","VAX2","Vax2_bulyk_cell08-3500.1"
"VAX2.e1","VAX2.e1","VAX2","VAX2_jolma_DBD_M648"
"M03633","M03633","VDR","Jolma2013"
"MA0693.4","MA0693.4","VDR","JASPAR"
"M03567","M03567","VDR","Jolma2013"
"M06264","M06264","VDR","Isakova2017"
"M10729","M10729","VDR","HOMER"
"VDR.h0","VDR.h0","VDR","VDR(NR),DR3/GM10855-VDR+vitD-ChIP-Seq(GSE22484)/Homer"
"VDR.h1","VDR.h1","VDR","VDR/MA0693.2/Jaspar"
"VDR.e0","VDR.e0","VDR","VDR_transfac_M00444"
"VDR.e2","VDR.e2","VDR","VDR,-CAR,-PXR_transfac_M00966"
"VDR.e3","VDR.e3","VDR","RXRA::VDR_jaspar_MA0074.1"
"VDR.e4","VDR.e4","VDR","VDR_jolma_full_M731"
"VDR.e5","VDR.e5","VDR","Vdr_jolma_DBD_M732"
"M00358","M00358","VENTX","Barrera2016"
"M00359","M00359","VENTX","Barrera2016"
"M00360","M00360","VENTX","Barrera2016"
"M02173","M02173","VENTX","Zoo_01"
"M03373","M03373","VENTX","Jolma2013"
"M03374","M03374","VENTX","Jolma2013"
"M05392","M05392","VENTX","Yin2017"
"M05393","M05393","VENTX","Yin2017"
"M05394","M05394","VENTX","Yin2017"
"MA0724.1","MA0724.1","VENTX","JASPAR"
"VENTX.h0","VENTX.h0","VENTX","VENTX/MA0724.1/Jaspar"
"VENTX.e0","VENTX.e0","VENTX","VENTX_jolma_DBD_M649"
"VENTX.e1","VENTX.e1","VENTX","VENTX_jolma_DBD_M650"
"M01254","M01254","VEZF1","TF_Evolution"
"MA1578.2","MA1578.2","VEZF1","JASPAR"
"VEZF1.h0","VEZF1.h0","VEZF1","VEZF1/MA1578.1/Jaspar"
"Vsx1.h0","Vsx1.h0","VSX1","PH0176.1_Vsx1/Jaspar"
"M02211","M02211","VSX1","Zoo_01"
"M03471","M03471","VSX1","Jolma2013"
"M04083","M04083","VSX1","Nitta2015"
"M03291","M03291","VSX1","Jolma2013"
"M05145","M05145","VSX1","Yin2017"
"M05146","M05146","VSX1","Yin2017"
"M05147","M05147","VSX1","Yin2017"
"M05148","M05148","VSX1","Yin2017"
"M05149","M05149","VSX1","Yin2017"
"M05150","M05150","VSX1","Yin2017"
"M06256","M06256","VSX1","Isakova2017"
"MA0725.2","MA0725.2","VSX1","JASPAR"
"VSX1.h0","VSX1.h0","VSX1","VSX1/MA0725.1/Jaspar"
"VSX1.e0","VSX1.e0","VSX1","Vsx1_bulyk_cell08-1728.1"
"VSX1.e1","VSX1.e1","VSX1","VSX1_jolma_DBD_M651"
"VSX1.e3","VSX1.e3","VSX1","Vsx1_jolma_DBD_M654"
"M02161","M02161","VSX2","Zoo_01"
"M02212","M02212","VSX2","Zoo_01"
"M04084","M04084","VSX2","Nitta2015"
"M04085","M04085","VSX2","Nitta2015"
"M00340","M00340","VSX2","Barrera2016"
"M00342","M00342","VSX2","Barrera2016"
"M03328","M03328","VSX2","Jolma2013"
"M05240","M05240","VSX2","Yin2017"
"M05241","M05241","VSX2","Yin2017"
"M05242","M05242","VSX2","Yin2017"
"M05243","M05243","VSX2","Yin2017"
"M05245","M05245","VSX2","Yin2017"
"M11799","M11799","VSX2","Transfac"
"MA0726.2","MA0726.2","VSX2","JASPAR"
"VSX2.h0","VSX2.h0","VSX2","VSX2/MA0726.1/Jaspar"
"VSX2.e0","VSX2.e0","VSX2","CHX10_transfac_M00437"
"VSX2.e1","VSX2.e1","VSX2","VSX2_jolma_DBD_M653"
"MA1627.2","MA1627.2","WT1","JASPAR"
"Wt1.h0","Wt1.h0","WT1","Wt1/MA1627.1/Jaspar"
"M00299","M00299","WT1","Barrera2016"
"M00302","M00302","WT1","Barrera2016"
"M00303","M00303","WT1","Barrera2016"
"M00304","M00304","WT1","Barrera2016"
"WT1.h0","WT1.h0","WT1","WT1(Zf)/Kidney-WT1-ChIP-Seq(GSE90016)/Homer"
"WT1.e0","WT1.e0","WT1","WT1_transfac_M01118"
"M02934","M02934","XBP1","Jolma2010"
"M03029","M03029","XBP1","Jolma2013"
"M03030","M03030","XBP1","Jolma2013"
"M04214","M04214","XBP1","RodriguezMartinez2017"
"M04215","M04215","XBP1","RodriguezMartinez2017"
"M04216","M04216","XBP1","RodriguezMartinez2017"
"M04435","M04435","XBP1","Yin2017"
"M04436","M04436","XBP1","Yin2017"
"M04437","M04437","XBP1","Yin2017"
"M04438","M04438","XBP1","Yin2017"
"M11055","M11055","XBP1","Transfac"
"M11056","M11056","XBP1","Transfac"
"MA0844.2","MA0844.2","XBP1","JASPAR"
"XBP1.h0","XBP1.h0","XBP1","X-box(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer"
"XBP1.h1","XBP1.h1","XBP1","XBP1/MA0844.1/Jaspar"
"XBP1.e0","XBP1.e0","XBP1","XBP-1_transfac_M00251"
"XBP1.e1","XBP1.e1","XBP1","HTF_transfac_M00538"
"XBP1.e2","XBP1.e2","XBP1","XBP1_jolma_DBD_M396"
"XBP1.e3","XBP1.e3","XBP1","XBP1_jolma_DBD_M397"
"M06031","M06031","XPA","Yin2017"
"M06032","M06032","XPA","Yin2017"
"M04865","M04865","YBX2","Yin2017"
"M04866","M04866","YBX2","Yin2017"
"MA0095.4","MA0095.4","YY1","JASPAR"
"M03081","M03081","YY1","Jolma2013"
"M04610","M04610","YY1","Yin2017"
"M04611","M04611","YY1","Yin2017"
"M04612","M04612","YY1","Yin2017"
"M04613","M04613","YY1","Yin2017"
"M06120","M06120","YY1","CodeBook"
"M06232","M06232","YY1","Isakova2017"
"M08313","M08313","YY1","ENCODE"
"M08314","M08314","YY1","ENCODE"
"M08315","M08315","YY1","ENCODE"
"M08316","M08316","YY1","ENCODE"
"M08317","M08317","YY1","ENCODE"
"M08318","M08318","YY1","ENCODE"
"M08319","M08319","YY1","ENCODE"
"M09030","M09030","YY1","Najafabadi2015b"
"M09423","M09423","YY1","Schmitges2016"
"M11261","M11261","YY1","Transfac"
"M11262","M11262","YY1","Transfac"
"YY1.h0","YY1.h0","YY1","YY1(Zf)/Promoter/Homer"
"YY1.h1","YY1.h1","YY1","YY1/MA0095.2/Jaspar"
"YY1.e0","YY1.e0","YY1","YY1_NT2-D1_encode-Snyder_seq_hsa_r1:MEME#3#Intergenic"
"YY1.e1","YY1.e1","YY1","YY1_SK-N-SH-RA_encode-Myers_seq_hsa_v041610.2-C-20_r1:Trawler#2#Intergenic"
"YY1.e2","YY1.e2","YY1","YY1_K562_encode-Myers_seq_hsa_v041610.1_r1:AligCE#2#Intergenic"
"YY1.e3","YY1.e3","YY1","YY1_GM12892_encode-Myers_seq_hsa_v041610.1_r1:AligCE#1#Intergenic"
"YY1.e4","YY1.e4","YY1","YY1_GM12878_encode-Myers_seq_hsa_v041610.1_r1:AligCE#1#Intergenic"
"YY1.e5","YY1.e5","YY1","YY1_1"
"YY1.e6","YY1.e6","YY1","YY1_2"
"YY1.e7","YY1.e7","YY1","YY1_3"
"YY1.e8","YY1.e8","YY1","YY1_4"
"YY1.e9","YY1.e9","YY1","YY1_5"
"YY1.e10","YY1.e10","YY1","YY1_6"
"YY1.e11","YY1.e11","YY1","YY1_7"
"M03130","M03130","YY2","Jolma2013"
"M03131","M03131","YY2","Jolma2013"
"M03132","M03132","YY2","Jolma2013"
"M04851","M04851","YY2","Yin2017"
"M04852","M04852","YY2","Yin2017"
"MA0748.3","MA0748.3","YY2","JASPAR"
"YY2.h0","YY2.h0","YY2","YY2/MA0748.2/Jaspar"
"YY2.e0","YY2.e0","YY2","YY2_jolma_DBD_M34"
"YY2.e1","YY2.e1","YY2","YY2_jolma_full_M35"
"M02975","M02975","ZBED1","Jolma2013"
"M04260","M04260","ZBED1","Yin2017"
"M04261","M04261","ZBED1","Yin2017"
"MA0749.2","MA0749.2","ZBED1","JASPAR"
"ZBED1.h0","ZBED1.h0","ZBED1","ZBED1/MA0749.1/Jaspar"
"ZBED1.e0","ZBED1.e0","ZBED1","ZBED1_jolma_DBD_M36"
"MA1971.2","MA1971.2","ZBED2","JASPAR"
"MA2328.1","MA2328.1","ZBED4","JASPAR"
"M08485","M08485","ZBED5","FactorBook"
"M00846","M00846","ZBTB1","DREAM_contest"
"M08580","M08580","ZBTB10","FactorBook"
"MA2329.1","MA2329.1","ZBTB11","JASPAR"
"M00201","M00201","ZBTB12","Badis09"
"Zbtb12.h0","Zbtb12.h0","ZBTB12","PB0090.1_Zbtb12_1/Jaspar"
"Zbtb12.h1","Zbtb12.h1","ZBTB12","PB0194.1_Zbtb12_2/Jaspar"
"M04837","M04837","ZBTB12","Yin2017"
"M04838","M04838","ZBTB12","Yin2017"
"M04839","M04839","ZBTB12","Yin2017"
"M04840","M04840","ZBTB12","Yin2017"
"M09062","M09062","ZBTB12","Najafabadi2015b"
"M09524","M09524","ZBTB12","Schmitges2016"
"MA1649.2","MA1649.2","ZBTB12","JASPAR"
"ZBTB12.h0","ZBTB12.h0","ZBTB12","ZBTB12(Zf)/HEK293-ZBTB12.GFP-ChIP-Seq(GSE58341)/Homer"
"ZBTB12.h1","ZBTB12.h1","ZBTB12","ZBTB12/MA1649.1/Jaspar"
"ZBTB12.e0","ZBTB12.e0","ZBTB12","Zbtb12_bulyk_sc09-primary"
"Zbtb14.h0","Zbtb14.h0","ZBTB14","PB0095.1_Zfp161_1/Jaspar"
"Zbtb14.h1","Zbtb14.h1","ZBTB14","PB0199.1_Zfp161_2/Jaspar"
"M04833","M04833","ZBTB14","Yin2017"
"M04834","M04834","ZBTB14","Yin2017"
"M04835","M04835","ZBTB14","Yin2017"
"M04836","M04836","ZBTB14","Yin2017"
"M09522","M09522","ZBTB14","Schmitges2016"
"MA1650.2","MA1650.2","ZBTB14","JASPAR"
"ZBTB14.h0","ZBTB14.h0","ZBTB14","ZBTB14/MA1650.1/Jaspar"
"ZBTB14.e0","ZBTB14.e0","ZBTB14","ZF5_transfac_M00333"
"ZBTB14.e1","ZBTB14.e1","ZBTB14","ZF5_transfac_M00716"
"ZBTB14.e2","ZBTB14.e2","ZBTB14","Zfp161_bulyk_sc09-primary"
"ZBTB16.e0","ZBTB16.e0","ZBTB16","PLZF_transfac_M01075"
"MA2102.1","MA2102.1","ZBTB17","JASPAR"
"M03120","M03120","ZBTB18","Jolma2013"
"M03121","M03121","ZBTB18","Jolma2013"
"M04789","M04789","ZBTB18","Yin2017"
"M04790","M04790","ZBTB18","Yin2017"
"M09050","M09050","ZBTB18","Najafabadi2015b"
"M09485","M09485","ZBTB18","Schmitges2016"
"M11405","M11405","ZBTB18","Transfac"
"MA0698.2","MA0698.2","ZBTB18","JASPAR"
"ZBTB18.h0","ZBTB18.h0","ZBTB18","ZBTB18(Zf)/HEK293-ZBTB18.GFP-ChIP-Seq(GSE58341)/Homer"
"ZBTB18.h1","ZBTB18.h1","ZBTB18","ZBTB18/MA0698.1/Jaspar"
"ZBTB18.e0","ZBTB18.e0","ZBTB18","RP58_transfac_M00532"
"ZBTB18.e1","ZBTB18.e1","ZBTB18","ZNF238_jolma_DBD_M44"
"ZBTB18.e2","ZBTB18.e2","ZBTB18","ZNF238_jolma_full_M45"
"MA2340.1","MA2340.1","ZBTB2","JASPAR"
"M04799","M04799","ZBTB2","Yin2017"
"M04800","M04800","ZBTB2","Yin2017"
"M04803","M04803","ZBTB20","Yin2017"
"M04804","M04804","ZBTB20","Yin2017"
"M04855","M04855","ZBTB22","Yin2017"
"M04856","M04856","ZBTB22","Yin2017"
"MA2330.1","MA2330.1","ZBTB24","JASPAR"
"M04751","M04751","ZBTB26","Yin2017"
"M04752","M04752","ZBTB26","Yin2017"
"M09475","M09475","ZBTB26","Schmitges2016"
"MA1579.2","MA1579.2","ZBTB26","JASPAR"
"ZBTB26.h0","ZBTB26.h0","ZBTB26","ZBTB26/MA1579.1/Jaspar"
"Zbtb3.h0","Zbtb3.h0","ZBTB3","PB0091.1_Zbtb3_1/Jaspar"
"Zbtb3.h1","Zbtb3.h1","ZBTB3","PB0195.1_Zbtb3_2/Jaspar"
"M00207","M00207","ZBTB3","Badis09"
"ZBTB3.e0","ZBTB3.e0","ZBTB3","Zbtb3_bulyk_sc09-primary"
"M04594","M04594","ZBTB32","Yin2017"
"M04595","M04595","ZBTB32","Yin2017"
"MA1580.1","MA1580.1","ZBTB32","JASPAR"
"ZBTB32.h0","ZBTB32.h0","ZBTB32","ZBTB32/MA1580.1/Jaspar"
"M04774","M04774","ZBTB33","Yin2017"
"M10634","M10634","ZBTB33","HOMER"
"MA0527.2","MA0527.2","ZBTB33","JASPAR"
"ZBTB33.h0","ZBTB33.h0","ZBTB33","ZBTB33(Zf)/GM12878-ZBTB33-ChIP-Seq(GSE32465)/Homer"
"ZBTB33.h1","ZBTB33.h1","ZBTB33","ZBTB33/MA0527.1/Jaspar"
"ZBTB33.e0","ZBTB33.e0","ZBTB33","ZBTB33_HepG2_encode-Myers_seq_hsa_r1:MDscan#1#Intergenic"
"ZBTB33.e1","ZBTB33.e1","ZBTB33","ZBTB33_HepG2_encode-Myers_seq_hsa_r1:AligCE#2#Intergenic"
"ZBTB33.e2","ZBTB33.e2","ZBTB33","ZBTB33_HepG2_encode-Myers_seq_hsa_r1:Trawler#1#Intergenic"
"ZBTB33.e3","ZBTB33.e3","ZBTB33","ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_r1:Trawler#2#Intergenic"
"ZBTB33.e4","ZBTB33.e4","ZBTB33","ZBTB33_1"
"M04807","M04807","ZBTB37","Yin2017"
